Reference Event Name,Time Offset,Duration,Apply only to Reference Event,Key Token,Target Zone,Action,Give Tokens...
train0line3ArrivingP4S2,0:00:45,23:59:00,,trainTicketP4,,waitOnP3_4,
train0line3ArrivingP4S2,0:00:46,,,,,back2SeatsTrainP4,
train0line2ArrivingP1S2,0:00:45,23:59:00,,trainTicketP1,,waitOnP1_2,
train0line2ArrivingP1S2,0:00:46,,,,,back2SeatsTrainP1,
train0line4ArrivingP3S2,0:00:45,23:59:00,,trainTicketP3,,waitOnP3_4,
train0line4ArrivingP3S2,0:00:46,,,,,back2SeatsTrainP3,
train0line1ArrivingP2S2,0:00:45,23:59:00,,trainTicketP2,,waitOnP1_2,
train0line1ArrivingP2S2,0:00:46,,,,,back2SeatsTrainP2,
train1line3ArrivingP4S2,0:00:45,23:59:00,,trainTicketP4,,waitOnP3_4,
train1line3ArrivingP4S2,0:00:46,,,,,back2SeatsTrainP4,
train1line2ArrivingP1S2,0:00:45,23:59:00,,trainTicketP1,,waitOnP1_2,
train1line2ArrivingP1S2,0:00:46,,,,,back2SeatsTrainP1,
train1line4ArrivingP3S2,0:00:45,23:59:00,,trainTicketP3,,waitOnP3_4,
train1line4ArrivingP3S2,0:00:46,,,,,back2SeatsTrainP3,
train2line3ArrivingP4S2,0:00:45,23:59:00,,trainTicketP4,,waitOnP3_4,
train2line3ArrivingP4S2,0:00:46,,,,,back2SeatsTrainP4,
train2line2ArrivingP1S2,0:00:45,23:59:00,,trainTicketP1,,waitOnP1_2,
train2line2ArrivingP1S2,0:00:46,,,,,back2SeatsTrainP1,
train1line1ArrivingP2S2,0:00:45,23:59:00,,trainTicketP2,,waitOnP1_2,
train1line1ArrivingP2S2,0:00:46,,,,,back2SeatsTrainP2,
train3line3ArrivingP4S2,0:00:45,23:59:00,,trainTicketP4,,waitOnP3_4,
train3line3ArrivingP4S2,0:00:46,,,,,back2SeatsTrainP4,
train3line2ArrivingP1S2,0:00:45,23:59:00,,trainTicketP1,,waitOnP1_2,
train3line2ArrivingP1S2,0:00:46,,,,,back2SeatsTrainP1,
train2line4ArrivingP3S2,0:00:45,23:59:00,,trainTicketP3,,waitOnP3_4,
train2line4ArrivingP3S2,0:00:46,,,,,back2SeatsTrainP3,
train2line1ArrivingP2S2,0:00:45,23:59:00,,trainTicketP2,,waitOnP1_2,
train2line1ArrivingP2S2,0:00:46,,,,,back2SeatsTrainP2,
train3line4ArrivingP3S2,0:00:45,23:59:00,,trainTicketP3,,waitOnP3_4,
train3line4ArrivingP3S2,0:00:46,,,,,back2SeatsTrainP3,
train3line1ArrivingP2S2,0:00:45,23:59:00,,trainTicketP2,,waitOnP1_2,
train3line1ArrivingP2S2,0:00:46,,,,,back2SeatsTrainP2,
