Interval,car1P1S3->traindoor1P1S3,traindoor1P2S3->P1_2S3,traindoor1P2S3->car1P2S3,traindoor2P2S3->P1_2S3,car1P2S3->seats1P2S3,P1_2S3->traindoor1P1S3,concourseS3->stairsS3,stairsS3->P1_2S3,P1_2S3->stairsS3,concourseS3->gate1S3,P1_2S3->wait2P1_2S3,traindoor6P1S3->P1_2S3,P1_2S3->traindoor6P1S3,P1_2S3->traindoor1P2S3,car1P2S3->traindoor2P2S3,traindoor6P1S3->car3P1S3,traindoor5P1S3->P1_2S3,car3P1S3->traindoor5P1S3,traindoor1P1S3->car1P1S3,P1_2S3->traindoor2P2S3,traindoor4P1S3->P1_2S3,traindoor4P1S3->car2P1S3,car2P1S3->traindoor3P1S3,P1_2S3->traindoor4P1S3,car1P1S3->traindoor2P1S3,traindoor6P2S3->P1_2S3,concourseS3->gate2S3,traindoor6P2S3->car3P2S3,car3P2S3->traindoor6P2S3,traindoor2P1S3->P1_2S3,car1P2S3->traindoor1P2S3,P1_2S3->wait3P1_2S3,traindoor1P1S3->P1_2S3,car3P1S3->traindoor6P1S3,traindoor5P2S3->P1_2S3,P1_2S3->traindoor5P2S3,car2P1S3->traindoor4P1S3,stairsS3->concourseS3,car3P2S3->traindoor5P2S3,traindoor2P1S3->car1P1S3,traindoor4P2S3->car2P2S3,P1_2S3->traindoor2P1S3,P1_2S3->traindoor4P2S3,traindoor2P2S3->car1P2S3,P1_2S3->wait1P1_2S3,traindoor3P2S3->P1_2S3,traindoor5P2S3->car3P2S3,car3P2S3->seats3P2S3,car2P2S3->traindoor4P2S3,P1_2S3->traindoor6P2S3,P1_2S3->traindoor3P2S3,traindoor4P2S3->P1_2S3,traindoor3P2S3->car2P2S3,car2P2S3->traindoor3P2S3,traindoor5P1S3->car3P1S3,car2P2S3->seats2P2S3,traindoor3P1S3->car2P1S3,P1_2S3->traindoor3P1S3,car1P1S3->seats1P1S3,P1_2S3->traindoor5P1S3,car3P1S3->seats3P1S3,car2P1S3->seats2P1S3,traindoor3P1S3->P1_2S3
#Location (x:y:z),11:0.02:-10.7,11:0.02:-0.4,11:0.02:0.7,25:0.02:-0.4,18:0.02:3.7,11:0.02:-9.6,84.8:4.52:-5,79.7:0.02:-5,79.7:0.02:-5,89.5:4.52:-14.5,39:0.02:-5,67:0.02:-9.6,67:0.02:-9.6,11:0.02:-0.4,25:0.02:0.7,67:0.02:-10.7,53:0.02:-9.6,53:0.02:-10.7,11:0.02:-10.7,25:0.02:-0.4,46:0.02:-9.6,46:0.02:-10.7,32:0.02:-10.7,46:0.02:-9.6,25:0.02:-10.7,67:0.02:-0.4,89.5:4.52:4.5,67:0.02:0.7,67:0.02:0.7,25:0.02:-9.6,11:0.02:0.7,60:0.02:-5,11:0.02:-9.6,67:0.02:-10.7,53:0.02:-0.4,53:0.02:-0.4,46:0.02:-10.7,84.8:4.52:-5,53:0.02:0.7,25:0.02:-10.7,46:0.02:0.7,25:0.02:-9.6,46:0.02:-0.4,25:0.02:0.7,18:0.02:-5,32:0.02:-0.4,53:0.02:0.7,60:0.02:3.7,46:0.02:0.7,67:0.02:-0.4,32:0.02:-0.4,46:0.02:-0.4,32:0.02:0.7,32:0.02:0.7,53:0.02:-10.7,39:0.02:3.7,32:0.02:-10.7,32:0.02:-9.6,18:0.02:-13.7,53:0.02:-9.6,60:0.02:-13.7,39:0.02:-13.7,32:0.02:-9.6
03:05:00,0,0,0,0,0,0,44,48,20,17,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,99,0,0,0,0,0,25,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:06:00,0,0,0,0,0,0,67,62,11,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,31,0,0,0,0,0,10,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:07:00,3,0,0,0,0,45,68,68,27,11,44,31,2,0,0,1,15,18,42,0,41,0,17,0,41,0,12,0,0,39,0,41,3,30,0,0,41,23,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,15
03:08:00,0,0,0,0,0,0,55,55,21,12,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,94,0,0,0,0,0,25,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:09:00,0,0,0,0,0,0,47,51,8,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,46,0,0,0,0,0,10,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:10:00,1,0,0,0,0,53,22,26,25,10,37,27,1,0,0,0,13,15,51,0,43,0,9,0,54,0,8,0,0,54,0,27,2,27,0,0,44,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,45,51,44,0,0,32,9
03:11:00,0,0,0,0,0,0,29,23,16,11,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,65,0,0,0,0,0,20,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:12:00,0,5,65,50,50,0,24,28,39,13,37,0,0,73,51,0,0,0,0,0,0,0,0,0,0,27,14,0,26,0,5,61,0,0,19,0,0,35,22,0,0,0,0,0,46,7,0,0,36,2,0,35,0,9,0,0,0,0,0,0,0,0,0
03:13:00,0,0,0,0,0,0,44,39,16,12,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,49,0,0,0,0,0,21,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:14:00,0,0,0,0,0,0,35,37,5,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,57,0,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:15:00,0,0,0,0,0,0,19,24,11,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,16,0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:16:00,0,0,0,0,0,0,23,21,7,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:17:00,0,2,0,53,0,0,33,32,25,6,39,0,0,0,54,0,0,0,0,0,0,0,0,0,0,26,11,0,29,0,4,27,0,0,12,0,0,18,14,0,0,0,0,0,26,11,0,0,36,0,0,34,0,12,0,0,0,0,0,0,0,0,0
03:18:00,0,0,0,0,0,0,45,39,5,6,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,46,0,0,0,0,0,11,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:19:00,0,0,0,0,0,0,31,34,14,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,43,0,0,0,0,0,12,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:20:00,0,0,0,0,0,0,16,18,14,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,19,0,0,0,0,0,17,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:21:00,0,0,0,0,0,0,26,28,3,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:22:00,0,4,0,36,0,0,29,30,22,5,30,0,0,0,39,0,0,0,0,0,0,0,0,0,0,26,7,0,29,0,5,28,0,0,12,0,0,16,16,0,0,0,0,0,24,12,0,0,47,0,0,44,0,14,0,0,0,0,0,0,0,0,0
03:23:00,0,0,0,0,0,0,45,42,8,10,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,29,0,0,0,0,0,13,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:24:00,0,0,0,0,0,0,32,31,3,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:25:00,0,0,0,0,0,0,19,22,4,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:26:00,0,0,0,0,0,0,16,17,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:27:00,0,3,45,55,37,0,0,2,19,4,25,0,0,48,57,0,0,0,0,0,0,0,0,0,0,26,5,0,29,0,3,20,0,0,13,0,0,13,19,0,0,0,0,0,18,5,0,0,35,0,0,32,0,7,0,0,0,0,0,0,0,0,0
03:28:00,0,0,0,0,0,0,0,0,3,8,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:29:00,0,0,0,0,0,0,0,0,7,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
